,0,1,2
279,sh.600099,1,林海股份
280,sh.600100,1,同方股份
281,sh.600101,1,明星电力
282,sh.600103,1,青山纸业
283,sh.600104,1,上汽集团
284,sh.600105,1,永鼎股份
285,sh.600106,1,重庆路桥
286,sh.600107,1,美尔雅
287,sh.600108,1,亚盛集团
288,sh.600109,1,国金证券
289,sh.600110,1,诺德股份
290,sh.600111,1,北方稀土
291,sh.600113,1,浙江东日
292,sh.600114,1,东睦股份
293,sh.600115,1,中国东航
294,sh.600116,1,三峡水利
295,sh.600117,1,西宁特钢
296,sh.600118,1,中国卫星
297,sh.600119,1,长江投资
298,sh.600120,1,浙江东方
299,sh.600121,1,郑州煤电
300,sh.600123,1,兰花科创
301,sh.600125,1,铁龙物流
302,sh.600126,1,杭钢股份
303,sh.600127,1,金健米业
304,sh.600128,1,苏豪弘业
305,sh.600129,1,太极集团
306,sh.600130,1,波导股份
307,sh.600131,1,国网信通
308,sh.600132,1,重庆啤酒
309,sh.600133,1,东湖高新
310,sh.600135,1,乐凯胶片
311,sh.600136,1,ST明诚
312,sh.600137,1,浪莎股份
313,sh.600138,1,中青旅
314,sh.600141,1,兴发集团
315,sh.600143,1,金发科技
316,sh.600148,1,长春一东
317,sh.600149,1,廊坊发展
318,sh.600150,1,中国船舶
319,sh.600151,1,航天机电
320,sh.600152,1,维科技术
321,sh.600153,1,建发股份
322,sh.600155,1,华创云信
323,sh.600156,1,华升股份
324,sh.600157,1,永泰能源
325,sh.600158,1,中体产业
326,sh.600159,1,大龙地产
327,sh.600160,1,巨化股份
328,sh.600161,1,天坛生物
329,sh.600162,1,香江控股
330,sh.600163,1,中闽能源
331,sh.600165,1,*ST宁科
332,sh.600166,1,福田汽车
333,sh.600167,1,联美控股
334,sh.600168,1,武汉控股
335,sh.600169,1,太原重工
336,sh.600170,1,上海建工
337,sh.600171,1,上海贝岭
338,sh.600172,1,黄河旋风
339,sh.600173,1,卧龙地产
340,sh.600176,1,中国巨石
341,sh.600177,1,雅戈尔
342,sh.600178,1,东安动力
343,sh.600179,1,安通控股
344,sh.600180,1,瑞茂通
345,sh.600182,1,S佳通
346,sh.600183,1,生益科技
347,sh.600184,1,光电股份
348,sh.600185,1,格力地产
349,sh.600186,1,莲花控股
350,sh.600187,1,国中水务
